Publication Description	Comparison in the Study	Experiment Type	Species	App Name
Role of NAP in gene expression regulation and stress response (Strzalka et al., 2024).	Mutants with deletion of hupA and/or hupS compared to WT in various conditions	RNA-seq	S. coelicolor	hupAS_Strzalka_2024
Global transcriptional response to chromosomal changes induced by rapid DNA relaxation (Szafran et al., 2019).	Mutants with overexpressed TopA vs WT	RNA-seq	S. coelicolor	TopA_Szafran_2019
Role of SatKR two-component system in regulating supercoiling-sensitive gene clusters (Gongerowska-Jac et al., 2021).	Mutants with satkR/sitkR deletion and reduced TopA expression	RNA-seq	S. coelicolor	SatKR_Gongerowska_2021
Role of AbrB1/B2 system in antibiotic production and resistance (Sanchez de la Nieta et al., 2020).	abrB deletion mutant vs WT	RNA-seq	S. coelicolor	AbrB1_Nieta_2020
Role of AbrC3 in regulating antibiotic production (Rico et al., 2014).	abrC3 deletion mutant vs parent wild type	Microarray	S. coelicolor	AbrC3_rico_2014
Role of Aor1 in antibiotic biosynthesis regulation [26].	aor1 deletion mutant vs WT	RNA-seq	S. coelicolor	Aor1_Antoraz_2017
Role and regulation of ArgR in liquid culture (Botas et al., 2018).	argR deletion mutant vs WT	RNA-seq	S. coelicolor	argr_Botas_2018
Role of BldD in morphological development and antibiotic production during vegetative growth (Den Hengst et al., 2010).	bldD deletion mutant vs WT	Microarray	S. coelicolor	BldD_denHengst_2010
Impact of BldC on life cycle progression (Bush et al., 2019).	bldC deletion mutant vs WT	RNA-seq	S. venezuelae	BldC_Bush_2018_sven
Role of DraR-K system in morphological and physiological differentiation (Yu et al., 2014).	draR-K deletion mutant vs wild type parent	Microarray	S. coelicolor	Drar-K_Yu_2014
Characterization of ECF42 sigma factors role and regulation (Liu et al., 2018).	Various deletion or overexpression mutants of ECF42	RNA-seq	S. venezuelae	ECF42_Liu_2018_sven
Role of GlnR in nitrogen starvation response regulation (Pullan et al., 2011).	glnR deletion mutant vs WT	Microarray	S. venezuelae	GlnR_Pullan_2011
Impact of OhkA on secondary metabolism and morphological differentiation [27].	ohkA deletion mutant vs WT	RNA-seq	S. coelicolor	OhkA_Lu_2011
Role of OsdR in oxidative stress response (Urem et al., 2016).	osdR deletion mutant vs WT	Microarray	S. coelicolor	OsdR_Urem_2016
Role of sigma R in protein quality control during disulfide stress (Kallifidas et al., 2010).	sigR deletion mutant vs WT	RNA-seq	S. coelicolor	sigR_Kallifidas_2010
Investigation of SoxR targets (Naseer et al., 2014).	soxR deletion mutant vs WT	RNA-seq	S. coelicolor	soxR_Naseer_2014
Identification of new genes involved in sporulation (Salerno et al., 2013).	whiA or whiH deletion mutants vs WT	Microarray	S. coelicolor	whiAH_Salerno_2013
Transcriptomic analysis of sporulating solid vs liquid cultures (Yague et al., 2013).	Solid vs liquid culture	Microarray	S. coelicolor	SolidLiquidDiff_Yague_2013
Detailed analysis of transcriptional and translational processes (Jeong et al., 2016).	Different life cycle stages	RNA-seq	S. coelicolor	growth_phases_Yeong_2016
Impact of ethanol shock on transcription and metabolism (Sekurova et al., 2022).	Cells under ethanol shock vs WT	RNA-seq	S. venezuelae	ETOHshock_Sekurova_2022_sven
Global impact of BldB on cell expression regulation (Avramova et al., 2023)	BldB deletion mutant vs WT	RNA-seq	S. venezuelae	BldB_Avramova_2023_sven
LexA regulator response to DNA damage-induced stress using mitomycin C (Stratton et al., 2022)	MMC-treated cells vs WT	RNA-seq	S. venezuelae	MMC_Stratton_2022_sven
Impact of ccr1 on bacterial secondary metabolism (Lei et al., 2024)	ccr1 deletion mutant vs WT	RNA-seq	S. coelicolor	ccr1_Lei_2024
Role of Gbn (GATC-binding NAP) in Streptomyces development (Du et al., 2022)	gbn deletion mutants vs WT	RNA-seq	S. coelicolor	Gbn_Du_2022
Role of Gbn (GATC-binding NAP) in Streptomyces development (Du et al., 2022)	—	ChIP-seq	S. coelicolor	Gbn_chipseq_Du_2022
Analysis of HrdB regulon during vegetative growth (Smidova et al., 2019).	---	ChIP-seq	S. coelicolor	HrdB_chipseq_Smidova_2018
TopA and HupA cooperation in chromosome organization during growth (Strzalka et al., 2022).	---	ChIP-seq	S. coelicolor	hupAS_chipseq_Strzalka_2024
Chromosome spatial rearrangement during sporulation (Szafran et al., 2021).	---	ChIP-seq	S. venezuelae	SMChupS_Szafran_2021
